host_time,tick,round,route_index,last_node,current_node,next_node,function,mode,stop_reason,line_detail,line_error_x10,line_count,led_count,cross_detail,cross_count,cross_led_count,yaw_x10,pitch_x10,roll_x10,target_x10,gyro_g_x10,gyro_t_x10,line_pid_x10,target_speed_x10,actual_speed_x10,left_speed_x10,right_speed_x10,mileage_x10,line_error,yaw,pitch,roll,target,gyro_g,gyro_t,line_pid,target_speed,actual_speed,left_speed,right_speed,mileage
2026-08-09T11:15:43,2701,0,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,-21,-58,0,0,0,0,0,0,0,0,4,0.0,0.0,-2.1,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2026-08-09T11:15:43,2801,0,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,-21,-58,0,0,0,0,0,0,0,0,4,0.0,0.0,-2.1,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2026-08-09T11:15:43,2901,0,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,-21,-58,0,0,0,0,0,0,0,0,4,0.0,0.0,-2.1,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2026-08-09T11:15:43,3001,0,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,-21,-58,0,0,0,0,0,0,0,0,4,0.0,0.0,-2.1,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2026-08-09T11:15:43,3101,0,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,-21,-58,0,0,0,0,0,0,0,0,4,0.0,0.0,-2.1,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2026-08-09T11:15:43,3201,0,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,-21,-58,0,0,0,0,0,0,0,0,4,0.0,0.0,-2.1,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2026-08-09T11:15:43,3301,0,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,-21,-58,0,0,0,0,0,0,0,0,4,0.0,0.0,-2.1,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2026-08-09T11:15:43,3401,0,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,-21,-58,0,0,0,0,0,0,0,0,4,0.0,0.0,-2.1,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2026-08-09T11:15:43,3501,0,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,-21,-58,0,0,0,0,0,0,0,0,4,0.0,0.0,-2.1,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2026-08-09T11:15:43,3601,0,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,-21,-58,0,0,0,0,0,0,0,0,4,0.0,0.0,-2.1,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
